DATE,MedHousingPrice,Housing Inventory,Market Hotness,Employed,Unemployed
8/1/17,418475,7426,7426,1005617,62576
9/1/17,419900,7377,7377,1021262,55967
10/1/17,420000,7562,7562,1023796,53267
11/1/17,425000,7733,7733,1035337,50873
12/1/17,426457,7553,7553,1032313,48360
1/1/18,429000,7482,7482,1031712,52320
2/1/18,429450,7746,7746,1038653,50279
3/1/18,439000,7758,7758,1041430,48176
4/1/18,439000,7803,7803,1035501,43570
5/1/18,444450,8015,8015,1040676,40692
6/1/18,445000,8221,8221,1034141,50784
7/1/18,439450,8410,8410,1039647,52139
8/1/18,436312.5,8479,8479,1028581,52851
9/1/18,432900,8741,8741,1042517,48462
10/1/18,429894,9224,9224,1049897,48608
11/1/18,429000,9503,9503,1059548,46661
12/1/18,425000,9175,9175,1057969,46809
1/1/19,426223.5,8949,8949,1054109,53888
2/1/19,429499,9050,9050,1059662,48316
3/1/19,436657.1429,8985,8985,1059610,48353
4/1/19,439000,8890,8890,1052611,40787
5/1/19,439844,8931,8931,1053785,39584
6/1/19,440000,8494,8494,1048836,47771
7/1/19,444148,8260,8260,1055089,51734
8/1/19,442894.2727,8133,8133,1050540,51222
9/1/19,439735.6818,8001,8001,1061732,44847
10/1/19,437629.9545,7920,7920,1072126,46063
11/1/19,435605,7902,7902,1083541,44642
12/1/19,434950,7250,7250,1085761,42508
1/1/20,439000,6875,6875,1081542,47929
2/1/20,449205,6663,6663,1089982,45743
3/1/20,452408,6304,6304,1058817,66794
4/1/20,449250,6566,6566,923385,178824
5/1/20,449900,6369,6369,917432,174390
6/1/20,462400,5273,5273,976104,152543
7/1/20,471210,4360,4360,977217,148198
8/1/20,483468,4037,4037,992158,123138
9/1/20,482500,4079,4079,1000693,117139
10/1/20,490000,4143,4143,1023063,103026
11/1/20,497514.25,3939,3939,1028689,99672
12/1/20,499000,3389,3389,1027348,99081
1/1/21,499777,2871,2871,1023365,100121
2/1/21,499970,2328,2328,1035562,96733
3/1/21,519500,2124,2124,1037171,92680
4/1/21,528000,2171,2171,1030640,90594
5/1/21,549900,2273,2273,1040299,83937
6/1/21,559000,2444,2444,1033989,94421
7/1/21,575000,2899,2899,1044986,90748
8/1/21,579000,3144,3144,1045208,85573
9/1/21,580402.5,3256,3256,1057880,73446
10/1/21,589900,3294,3294,1071865,69839
11/1/21,592500,3050,3050,1087066,61821
12/1/21,592122.5,2501,2501,1092474,56117
1/1/22,589900,2098,2098,1089851,61655
2/1/22,597450,2148,2148,1106989,54473
3/1/22,614922.5,2249,2249,1112239,48625
4/1/22,645000,2531,2531,1098473,42430
5/1/22,647000,3548,3548,1104293,39457
6/1/22,648000,4412,4412,1093441,46887
7/1/22,640000,5510,5510,1098030,48281
8/1/22,627000,5684,5684,1097281,49962
9/1/22,620000,5838,5838,1107117,45372
10/1/22,614700,6132,6132,1112073,47553
11/1/22,604999.75,6225,6225,1111121,47791
12/1/22,599999,5616,5616,1118014,43736
1/1/23,600000,5033,5033,1100113,51845
2/1/23,603500,4597,4597,1103989,52867
3/1/23,600397,4329,4329,1105668,53128
4/1/23,624904.5,3918,3918,1094188,47482
5/1/23,629950,3800,3800,1091356,50449
6/1/23,625000,3791,3791,1078188,57050
7/1/23,625000,3882,3882,1085738,57054
8/1/23,619945,3930,3930,1080533,61965
9/1/23,624999.5,4032,4032,1097003,58611
10/1/23,634750,4502,4502,1101135,60383
11/1/23,646472.5,4833,4833,1105798,59742
12/1/23,632000,4699,4699,,